Time,aMag,gMag,ang,bpm,but
260765,1.0050373127401788,0.6664082832618454,264.250957109195,80.97,0
261906,1.0050373127401788,0.7340980860893183,264.250957109195,78.84,0
263028,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
264169,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
265311,1.0050373127401788,0.7340980860893183,264.250957109195,27.24,0
266453,1.0050373127401788,0.7479304780526063,264.250957109195,83.22,0
267594,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
268736,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
269877,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
271019,1.0050373127401788,0.7217340230306453,264.250957109195,80.97,0
272160,1.0050373127401788,0.7340980860893183,264.250957109195,83.22,0
273362,1.0050373127401788,0.7217340230306453,264.250957109195,76.82,0
274503,1.0050373127401788,0.7340980860893183,264.250957109195,78.84,0
275645,1.0050373127401788,0.7406753674856482,264.250957109195,83.22,0
276766,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
277908,1.0050373127401788,0.6797793759742936,264.250957109195,78.84,0
279049,1.0050373127401788,0.6868769904429759,264.250957109195,78.84,0
280191,1.0050373127401788,0.7217340230306453,264.250957109195,78.84,0
281332,1.0050373127401788,0.7340980860893183,264.250957109195,41.61,0
282474,1.0050373127401788,0.7217340230306453,264.250957109195,44.05,0
283615,1.0050373127401788,0.6946941773183363,264.250957109195,78.84,0
284757,1.0050373127401788,0.7479304780526063,264.250957109195,78.84,0
285898,1.0050373127401788,0.6946941773183363,264.250957109195,78.84,0
287040,1.0050373127401788,0.6664082832618454,264.250957109195,83.22,0
288182,1.0050373127401788,0.6609841147864296,264.250957109195,74.91,0
289323,1.0064790112068904,0.768439978137525,264.22433636954236,85.59,0
290465,1.0050373127401788,0.7217340230306453,264.250957109195,83.22,0
291607,1.0050373127401788,0.6963476143421474,264.250957109195,83.22,0
292788,1.0050373127401788,0.7142128534267639,264.250957109195,76.82,0
293929,1.0050373127401788,0.6797793759742936,264.250957109195,90.77,0
295091,1.0050373127401788,0.7217340230306453,264.250957109195,76.82,0
296232,1.0050373127401788,0.7340980860893183,264.250957109195,80.97,0
